id,eng,hun
4,Afghanistan,Afganisztán
8,Albania,Albánia
12,Algeria,Algéria
20,Andorra,Amerikai Egyesült Államok
24,Angola,Andorra
28,Antigua and Barbuda,Angola
32,Argentina,Antigua és Barbuda
51,Armenia,Argentína
36,Australia,Ausztrália
40,Austria,Ausztria
31,Azerbaijan,Azerbajdzsán
44,Bahamas,Bahama-szigetek
48,Bahrain,Bahrein
50,Bangladesh,Banglades
52,Barbados,Barbados
112,Belarus,Belgium
56,Belgium,Belize
84,Belize,Benin
204,Benin,Bhután
64,Bhutan,Bissau-Guinea
68,Bolivia (Plurinational State of),Bolívia
70,Bosnia and Herzegovina,Bosznia-Hercegovina
72,Botswana,Botswana
76,Brazil,Brazília
96,Brunei Darussalam,Brunei
100,Bulgaria,Bulgária
854,Burkina Faso,Burkina Faso
108,Burundi,Burundi
132,Cabo Verde,Chile
116,Cambodia,Ciprus
120,Cameroon,Comore-szigetek
124,Canada,Costa Rica
140,Central African Republic,Csád
148,Chad,Csehország
152,Chile,Dánia
156,China,Dél-afrikai Köztársaság
170,Colombia,Dél-Szudán
174,Comoros,Dél-Korea (Koreai Köztársaság)
178,Congo,Dominikai Közösség
180,"Congo, Democratic Republic of the",Dominikai Köztársaság
188,Costa Rica,Dzsibuti
384,Côte d'Ivoire,Ecuador
191,Croatia,Egyenlítői-Guinea
192,Cuba,Egyesült Arab Emírségek
196,Cyprus,Egyesült Királyság
203,Czechia,Egyiptom
208,Denmark,Elefántcsontpart
262,Djibouti,Salvador
212,Dominica,Eritrea
214,Dominican Republic,Észak-Korea (Koreai NDK)
218,Ecuador,Észtország
818,Egypt,Etiópia
222,El Salvador,Fehéroroszország
226,Equatorial Guinea,Fidzsi
232,Eritrea,Finnország
233,Estonia,Franciaország
748,Eswatini,Fülöp-szigetek
231,Ethiopia,Gabon
242,Fiji,Gambia
246,Finland,Ghána
250,France,Görögország
266,Gabon,Grenada
270,Gambia,Grúzia
268,Georgia,Guatemala
276,Germany,Guinea
288,Ghana,Guyana
300,Greece,Haiti
308,Grenada,Hollandia
320,Guatemala,Honduras
324,Guinea,Horvátország
624,Guinea-Bissau,India
328,Guyana,Indonézia
332,Haiti,Irak
340,Honduras,Irán
348,Hungary,Írország
352,Iceland,Izland
356,India,Izrael
360,Indonesia,Jamaica
364,Iran (Islamic Republic of),Japán
368,Iraq,Jemen
372,Ireland,Jordánia
376,Israel,Kambodzsa
380,Italy,Kamerun
388,Jamaica,Kanada
392,Japan,Katar
400,Jordan,Kazahsztán
398,Kazakhstan,Kelet-Timor
404,Kenya,Kenya
296,Kiribati,Kína
408,Korea (Democratic People's Republic of),Kirgizisztán
410,"Korea, Republic of",Kiribati
414,Kuwait,Kolumbia
417,Kyrgyzstan,Kongói Demokratikus Köztársaság (Zaire)
418,Lao People's Democratic Republic,Kongói Köztársaság (Kongó)
428,Latvia,Közép-Afrika
422,Lebanon,Kuba
426,Lesotho,Kuvait
430,Liberia,Laosz
434,Libya,Lengyelország
438,Liechtenstein,Lesotho
440,Lithuania,Lettország
442,Luxembourg,Libanon
450,Madagascar,Libéria
454,Malawi,Líbia
458,Malaysia,Liechtenstein
462,Maldives,Litvánia
466,Mali,Luxemburg
470,Malta,Észak-Macedónia
584,Marshall Islands,Madagaszkár
478,Mauritania,Magyarország
480,Mauritius,Malajzia
484,Mexico,Malawi
583,Micronesia (Federated States of),Maldív-szigetek
498,"Moldova, Republic of",Mali
492,Monaco,Málta
496,Mongolia,Marokkó
499,Montenegro,Marshall-szigetek
504,Morocco,Mauritánia
508,Mozambique,Mauritius
104,Myanmar,Mexikó
516,Namibia,Mianmar
520,Nauru,Mikronézia
524,Nepal,Moldova
528,Netherlands,Monaco
554,New Zealand,Mongólia
558,Nicaragua,Montenegró
562,Niger,Mozambik
566,Nigeria,Namíbia
807,North Macedonia,Nauru
578,Norway,Németország
512,Oman,Nepál
586,Pakistan,Nicaragua
585,Palau,Niger
591,Panama,Nigéria
598,Papua New Guinea,Norvégia
600,Paraguay,Olaszország
604,Peru,Omán
608,Philippines,Oroszország
616,Poland,Örményország
620,Portugal,Pakisztán
634,Qatar,Palau
642,Romania,Panama
643,Russian Federation,Pápua Új-Guinea
646,Rwanda,Paraguay
659,Saint Kitts and Nevis,Peru
662,Saint Lucia,Portugália
670,Saint Vincent and the Grenadines,Románia
882,Samoa,Ruanda
674,San Marino,Saint Kitts és Nevis
678,Sao Tome and Principe,Saint Lucia
682,Saudi Arabia,Saint Vincent és a Grenadine-szigetek
686,Senegal,Salamon-szigetek
688,Serbia,San Marino
690,Seychelles,São Tomé és Príncipe
694,Sierra Leone,Seychelle-szigetek
702,Singapore,Sierra Leone
703,Slovakia,Spanyolország
705,Slovenia,Srí Lanka
90,Solomon Islands,Suriname
706,Somalia,Svájc
710,South Africa,Svédország
728,South Sudan,Szamoa
724,Spain,Szaúd-Arábia
144,Sri Lanka,Szenegál
729,Sudan,Szerbia
740,Suriname,Szingapúr
752,Sweden,Szíria
756,Switzerland,Szlovákia
760,Syrian Arab Republic,Szlovénia
762,Tajikistan,Szomália
834,"Tanzania, United Republic of",Szudán
764,Thailand,Szváziföld
626,Timor-Leste,Tádzsikisztán
768,Togo,Tanzánia
776,Tonga,Thaiföld
780,Trinidad and Tobago,Togo
788,Tunisia,Tonga
792,Turkey,Törökország
795,Turkmenistan,Trinidad és Tobago
798,Tuvalu,Tunézia
800,Uganda,Tuvalu
804,Ukraine,Türkmenisztán
784,United Arab Emirates,Uganda
826,United Kingdom of Great Britain and Northern Ireland,Új-Zéland
840,United States of America,Ukrajna
858,Uruguay,Uruguay
860,Uzbekistan,Üzbegisztán
548,Vanuatu,Vanuatu
862,Venezuela (Bolivarian Republic of),Venezuela
704,Viet Nam,Vietnám
887,Yemen,Zambia
894,Zambia,Zimbabwe
716,Zimbabwe,Zöld-foki Köztársaság
xx,American Samoa,Amerikai Szamoa
xx,Aruba,Aruba
xx,Bermuda,Bermuda
xx,British Virgin Islands,Brit Virgin-szigetek
xx,Cayman Islands,Kajmán-szigetek
xx,Faroe Islands,Feröer
xx,French Polynesia,Francia Polinézia
xx,Gibraltar,Gibraltár
xx,Greenland,Grönland
xx,Guam,Guam
xx,Isle of Man,Man-sziget
xx,New Caledonia,Új-Kaledónia
xx,Puerto Rico,Puerto Rico
xx,Turks and Caicos Islands,Turks- és Caicos-szigetek
